2000-07-03;0:00:00,7.1
2000-07-04;0:00:00,7.1
2000-07-05;0:00:00,7.03
2000-07-06;0:00:00,7.07
2000-07-07;0:00:00,7.01
2000-07-10;0:00:00,7.04
2000-07-11;0:00:00,7.04
2000-07-12;0:00:00,7.06
2000-07-13;0:00:00,7.04
2000-07-14;0:00:00,7.08
2000-07-17;0:00:00,7.12
2000-07-18;0:00:00,7.12
2000-07-19;0:00:00,7.13
2000-07-20;0:00:00,7.07
2000-07-21;0:00:00,7.03
2000-07-24;0:00:00,7.04
2000-07-25;0:00:00,7.03
2000-07-26;0:00:00,7.02
2000-07-27;0:00:00,7.01
2000-07-28;0:00:00,7.03
2000-07-31;0:00:00,7.06
2000-08-01;0:00:00,7.04
2000-08-02;0:00:00,7.02
2000-08-03;0:00:00,6.98
2000-08-04;0:00:00,6.94
2000-08-07;0:00:00,6.94
2000-08-08;0:00:00,6.94
2000-08-09;0:00:00,6.93
2000-08-10;0:00:00,6.9
2000-08-11;0:00:00,6.92
2000-08-14;0:00:00,6.96
2000-08-15;0:00:00,6.96
2000-08-16;0:00:00,6.96
2000-08-17;0:00:00,6.97
2000-08-18;0:00:00,6.96
2000-08-21;0:00:00,6.95
2000-08-22;0:00:00,6.95
2000-08-23;0:00:00,6.93
2000-08-24;0:00:00,6.91
2000-08-25;0:00:00,6.9
2000-08-28;0:00:00,6.92
2000-08-29;0:00:00,6.93
2000-08-30;0:00:00,6.94
2000-08-31;0:00:00,6.91
2000-09-01;0:00:00,6.84
2000-09-04;0:00:00,6.84
2000-09-05;0:00:00,6.83
2000-09-06;0:00:00,6.85
2000-09-07;0:00:00,6.84
2000-09-08;0:00:00,6.84
2000-09-11;0:00:00,6.85
2000-09-12;0:00:00,6.84
2000-09-13;0:00:00,6.82
2000-09-14;0:00:00,6.81
2000-09-15;0:00:00,6.79
2000-09-18;0:00:00,6.77
2000-09-19;0:00:00,6.77
2000-09-20;0:00:00,6.77
2000-09-21;0:00:00,6.78
2000-09-22;0:00:00,6.74
2000-09-25;0:00:00,6.78
2000-09-26;0:00:00,6.78
2000-09-27;0:00:00,6.77
2000-09-28;0:00:00,6.78
2000-09-29;0:00:00,6.75
2000-10-02;0:00:00,6.77
2000-10-03;0:00:00,6.75
2000-10-04;0:00:00,6.78
2000-10-05;0:00:00,6.78
2000-10-06;0:00:00,6.79
2000-10-09;0:00:00,6.79
2000-10-10;0:00:00,6.78
2000-10-11;0:00:00,6.74
2000-10-12;0:00:00,6.71
2000-10-13;0:00:00,6.68
2000-10-16;0:00:00,6.69
2000-10-17;0:00:00,6.68
2000-10-18;0:00:00,6.63
2000-10-19;0:00:00,6.64
2000-10-20;0:00:00,6.65
2000-10-23;0:00:00,6.65
2000-10-24;0:00:00,6.66
2000-10-25;0:00:00,6.65
2000-10-26;0:00:00,6.67
2000-10-27;0:00:00,6.69
2000-10-30;0:00:00,6.71
2000-10-31;0:00:00,6.69
2000-11-01;0:00:00,6.67
2000-11-02;0:00:00,6.66
2000-11-03;0:00:00,6.69
2000-11-06;0:00:00,6.71
2000-11-07;0:00:00,6.71
2000-11-08;0:00:00,6.72
2000-11-09;0:00:00,6.7
2000-11-10;0:00:00,6.67
2000-11-13;0:00:00,6.64
